sensor,provider_asset_type,gsd,capture_date,off_nadir_angle,pan_resolution,sun_azimuth,sun_elevation,target_azimuth,disaster,disaster_type,catalog_id,original_width,original_height,width,height,id,img_name,centroid_x,centroid_y,path,destroyed,minor-damage,major-damage,un-classified,no-damage
WORLDVIEW02,WORLDVIEW02,2.35255861282349,2011-05-29T17:29:25.433Z,28.4302768707275,0.585882604122162,143.603851318359,71.8531799316406,193.251083374023,joplin-tornado,wind,103001000A285500,1024,1024,1024,1024,MjY0Mzk4Mg.vo5dFUhTfoVWnKNLRID8rEkx0A0,joplin-tornado_00000000_post_disaster.png,-94.50681594487547,37.06327890189633,C:\Users\yanit\OneDrive\Bureau\Data Insights And Visualization\tier3\labels\joplin-tornado_00000000_post_disaster.json,102.0,43.0,27.0,7.0,6.0
WORLDVIEW02,WORLDVIEW02,2.35255861282349,2011-05-29T17:29:25.433Z,28.4302768707275,0.585882604122162,143.603851318359,71.8531799316406,193.251083374023,joplin-tornado,wind,103001000A285500,1024,1024,1024,1024,MjY0Mzk4NA.ozk_gKu7JSNkIMTSpxNK_AJNYuo,joplin-tornado_00000001_post_disaster.png,-94.50147216562573,37.06367287279997,C:\Users\yanit\OneDrive\Bureau\Data Insights And Visualization\tier3\labels\joplin-tornado_00000001_post_disaster.json,69.0,73.0,27.0,8.0,21.0
WORLDVIEW02,WORLDVIEW02,2.35255861282349,2011-05-29T17:29:25.433Z,28.4302768707275,0.585882604122162,143.603851318359,71.8531799316406,193.251083374023,joplin-tornado,wind,103001000A285500,1024,1024,1024,1024,MjY0Mzk4Ng.5tAGgMbO2VX5UXpykOxlAetdyjA,joplin-tornado_00000002_post_disaster.png,-94.49666149295277,37.063413528872736,C:\Users\yanit\OneDrive\Bureau\Data Insights And Visualization\tier3\labels\joplin-tornado_00000002_post_disaster.json,14.0,40.0,6.0,3.0,40.0
WORLDVIEW02,WORLDVIEW02,2.35255861282349,2011-05-29T17:29:25.433Z,28.4302768707275,0.585882604122162,143.603851318359,71.8531799316406,193.251083374023,joplin-tornado,wind,103001000A285500,1024,1024,1024,1024,MjY0Mzk4OA.wLq0xXQMrfvyi_AjmwAeKlUazU8,joplin-tornado_00000003_post_disaster.png,-94.49120035147924,37.06409251493206,C:\Users\yanit\OneDrive\Bureau\Data Insights And Visualization\tier3\labels\joplin-tornado_00000003_post_disaster.json,5.0,67.0,10.0,5.0,76.0
WORLDVIEW02,WORLDVIEW02,2.35255861282349,2011-05-29T17:29:25.433Z,28.4302768707275,0.585882604122162,143.603851318359,71.8531799316406,193.251083374023,joplin-tornado,wind,103001000A285500,1024,1024,1024,1024,MjY0Mzk5MQ.cD79_yzi1rCYRfL6s9W0_l8Ym3w,joplin-tornado_00000004_post_disaster.png,-94.48580168766776,37.06380401347275,C:\Users\yanit\OneDrive\Bureau\Data Insights And Visualization\tier3\labels\joplin-tornado_00000004_post_disaster.json,13.0,91.0,5.0,8.0,139.0
WORLDVIEW02,WORLDVIEW02,2.35255861282349,2011-05-29T17:29:25.433Z,28.4302768707275,0.585882604122162,143.603851318359,71.8531799316406,193.251083374023,joplin-tornado,wind,103001000A285500,1024,1024,1024,1024,MjY0Mzk5Mg.35QUZ90ASbQhw6A6VvdV5U80geY,joplin-tornado_00000005_post_disaster.png,-94.48294956300153,37.0642398465353,C:\Users\yanit\OneDrive\Bureau\Data Insights And Visualization\tier3\labels\joplin-tornado_00000005_post_disaster.json,40.41975308641975,12.0,2.0,3.0,23.0
WORLDVIEW02,WORLDVIEW02,2.35255861282349,2011-05-29T17:29:25.433Z,28.4302768707275,0.585882604122162,143.603851318359,71.8531799316406,193.251083374023,joplin-tornado,wind,103001000A285500,1024,1024,1024,1024,MjY0Mzk5NA.jPVTa9qeuM8aKXb2IAMRk2iUhqE,joplin-tornado_00000006_post_disaster.png,-94.44003575268414,37.07116659087207,C:\Users\yanit\OneDrive\Bureau\Data Insights And Visualization\tier3\labels\joplin-tornado_00000006_post_disaster.json,40.41975308641975,1.0,11.823529411764707,5.0,30.0
WORLDVIEW02,WORLDVIEW02,2.35255861282349,2011-05-29T17:29:25.433Z,28.4302768707275,0.585882604122162,143.603851318359,71.8531799316406,193.251083374023,joplin-tornado,wind,103001000A285500,1024,1024,1024,1024,MjY0Mzk5Ng.dPJvBpGqueYEhdwU9vxhd0juQyc,joplin-tornado_00000007_post_disaster.png,-94.52746272214793,37.07171876776241,C:\Users\yanit\OneDrive\Bureau\Data Insights And Visualization\tier3\labels\joplin-tornado_00000007_post_disaster.json,40.41975308641975,4.0,11.823529411764707,5.466666666666667,331.0
WORLDVIEW02,WORLDVIEW02,2.35255861282349,2011-05-29T17:29:25.433Z,28.4302768707275,0.585882604122162,143.603851318359,71.8531799316406,193.251083374023,joplin-tornado,wind,103001000A285500,1024,1024,1024,1024,MjY0Mzk5OA.d-xFcgcev7oC4nC6s5xeCXa69ZI,joplin-tornado_00000008_post_disaster.png,-94.55740803681468,37.05874368488024,C:\Users\yanit\OneDrive\Bureau\Data Insights And Visualization\tier3\labels\joplin-tornado_00000008_post_disaster.json,21.0,9.0,6.0,2.0,5.0
WORLDVIEW02,WORLDVIEW02,2.35255861282349,2011-05-29T17:29:25.433Z,28.4302768707275,0.585882604122162,143.603851318359,71.8531799316406,193.251083374023,joplin-tornado,wind,103001000A285500,1024,1024,1024,1024,MjY0NDAwMA.IKyVns5bbAPcQpABu28uXjF_K0I,joplin-tornado_00000009_post_disaster.png,-94.48006560642585,37.05828011198453,C:\Users\yanit\OneDrive\Bureau\Data Insights And Visualization\tier3\labels\joplin-tornado_00000009_post_disaster.json,40.41975308641975,20.67924528301887,11.823529411764707,3.0,18.0
